Id,DateandTime,BetaineTankLevel,SLS_Tank_A_Level,SLS_Tank_B_Level,SLE3S_Tank_A_Level,SLE3S_Tank_B_Level,SLE1S_Tank_Level,HAS_Tank_Level,HeatingBay_Tank_Level,HeatingBay_Tank_Temp,GelN_Tank_A_Level,GelN_Tank_B_Level,NACL6T_Level,NACL2T_Level,LPBase_Tank_Level,LPBase_SurgeTank_Level,HCBase_Tank_Level,THXN_Tank_Level,DM5500_Tank_Level,Dadmac_Tank_Level,Perfume1_Tank_Level,Perfume2_Tank_Level,Perfume3_Tank_Level,HotDI_Tank_Level,ColdDI_Tank_Level,1.25_Tank_Level,Benzyl_Tank_Level,Climbazole_Tank_Level,Kathon_Level,Pure_refresh,HCL
289276,2025-10-23 00:47:39.580,44.8022,46.90708,47.30994,51.97904,88.73157,0,72.90532,1771.498,49.81875,4514.074,-13.875,2181.75,1697.632,5230.376,861,7008,-76.125,20.16875,NULL,615.09,539.4375,511.885,85.35077,89.86111,8.5,1265.737,1771.498,351.5078,948.2977,18.58625
289277,2025-10-23 00:48:15.657,44.85408,45.97466,47.31319,51.97904,88.77734,0,72.95396,1775.973,49.90625,4514.815,-13.5,2181.75,1697.132,5229.409,861,7008,-76.125,20.175,NULL,615.195,539.4938,511.83,85.33539,87.77779,8.5,1264.668,1775.973,351.6699,948.7841,18.58625
289278,2025-10-23 00:48:50.643,44.84436,45.87719,47.2872,51.97904,88.72503,0,72.91829,1775.584,49.96875,4515.185,-13.875,2180.625,1697.257,5229.409,861,7008,-76.125,20.16875,NULL,615.3,539.4375,511.885,85.3877,89.30556,8.5,1264.133,1775.584,351.6699,949.2704,18.58625
289279,2025-10-23 00:49:25.157,44.83463,46.61794,47.35867,52.01159,88.50266,0,72.91829,1774.416,50.025,4515.185,-13.875,2182.5,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.3,539.4375,511.83,85.38,87.08334,8.5,1264.668,1774.416,351.6699,948.7841,18.58625
289280,2025-10-23 00:54:11.163,44.85084,46.8746,47.33593,51.97904,88.56152,0,72.92802,1774.805,50.00625,4514.815,-13.5,2181.375,1697.132,5230.376,861,7008,-76.125,20.16875,NULL,615.3525,539.4375,511.885,85.32769,88.75,8.5,1264.814,1774.805,351.3456,948.2977,18.58625
289281,2025-10-23 00:59:10.953,44.87679,46.90708,47.27745,51.94649,88.55499,0,72.9345,1775.195,50,4514.444,-14.25,2181.75,1697.257,5230.376,861,7008,-76.125,20.175,NULL,615.405,539.4938,511.83,85.33539,90,8.5,1264.716,1775.195,351.3456,948.2977,18.58625
289282,2025-10-23 01:04:11.453,44.86705,46.93632,47.25146,51.97904,88.78388,0,72.90532,1775,49.9875,4515.185,-14.25,2307,1697.382,5230.376,861,7008,-76.125,20.18125,NULL,615.2475,539.4375,511.885,85.28923,88.19444,8.5,1264.425,1775,351.5078,948.2977,18.58625
289283,2025-10-23 01:09:11.280,44.87679,46.90708,47.31319,51.97904,88.75773,0,72.91829,1774.514,50,4514.815,-13.875,2207.25,1697.382,5230.376,861,7008,-76.125,20.175,NULL,615.3525,539.4375,511.885,85.34308,89.44444,8.5,1264.668,1774.514,351.5078,948.2977,18.58625
289284,2025-10-23 01:14:10.670,44.87679,46.96881,47.27095,51.97904,88.70213,0,72.97017,1775.292,50,4514.815,-13.5,2188.125,1697.132,5230.376,861,7008,-76.125,20.175,NULL,615.405,539.4375,511.885,85.33539,87.22221,8.5,1264.862,1775.292,351.6699,948.7841,18.58625
289285,2025-10-23 01:19:10.683,44.79896,46.93632,46.76413,51.94649,88.71848,0,72.93126,1774.805,50,4514.815,-13.5,2182.875,1697.257,5230.376,861,7008,-76.125,20.175,NULL,615.3,539.4375,511.885,85.32769,88.61111,8.5,1265.057,1774.805,351.6699,948.7841,18.58625
289286,2025-10-23 01:24:10.870,44.86057,46.93632,46.60169,51.0123,88.70213,0,72.91505,1775.195,49.975,4514.815,-14.25,2182.5,1697.382,5230.376,861,7008,-76.125,20.16875,NULL,615.405,539.4375,511.885,85.32,90,8.5,1264.716,1775.195,351.5078,948.2977,18.58625
289287,2025-10-23 01:29:10.930,44.85084,46.90708,46.92333,51.3671,88.75773,0,72.91505,1775.486,49.7875,4514.815,-14.25,2182.5,1696.883,5230.376,861,7008,-76.125,20.16875,NULL,615.51,539.4375,511.885,85.32769,87.77779,8.5,1264.668,1775.486,351.5078,948.2977,18.55383
289288,2025-10-23 01:34:10.923,44.88003,46.8746,47.16374,51.4973,88.74138,0,72.9345,1774.222,49.6375,4514.444,-13.875,2182.125,1697.008,5230.376,861,7008,-76.125,20.175,NULL,615.3525,539.4375,511.885,85.31231,89.02779,8.5,1265.057,1774.222,351.3456,947.8113,18.58625
289289,2025-10-23 01:39:10.880,44.85084,46.8746,47.23197,51.97904,88.70213,0,72.96044,1774.125,49.51875,4514.815,-13.875,2182.125,1698.132,5230.376,861,7008,-76.125,20.16875,NULL,615.5625,539.4375,511.775,85.32,88.19444,8.5,1264.425,1774.125,351.5078,948.7841,18.58625
289290,2025-10-23 01:44:10.687,44.84436,46.90708,47.20598,52.01159,88.74792,0,72.94747,1771.693,49.51875,4514.815,-14.25,2181.75,1697.257,5229.409,861,7008,-76.125,20.16875,NULL,615.5625,539.4375,511.885,85.34308,85.13889,8.5,1264.473,1771.693,351.5078,948.2977,18.58625
289291,2025-10-23 01:49:10.543,44.8476,46.80962,47.154,51.94649,88.74464,0,72.93774,1771.984,49.54375,4514.815,-13.875,2182.875,1697.507,5229.409,861,7008,-76.125,20.175,NULL,615.51,539.4375,511.83,85.32,86.80556,8.5,1264.814,1771.984,351.5078,948.2977,18.58625
289292,2025-10-23 01:54:10.907,44.81193,46.07212,47.27095,51.97904,88.74464,0,72.96693,1773.735,49.54375,4514.815,-13.875,2182.5,1697.257,5229.409,861,7008,-76.125,20.18125,NULL,615.5625,539.4938,511.885,85.33539,88.19444,8.5,1264.668,1773.735,351.3456,948.2977,18.58625
289293,2025-10-23 01:59:11.153,44.87679,46.39051,47.25471,51.91394,88.70867,0,72.90208,1775.097,49.5375,4514.444,-13.5,2181.75,1697.382,5229.409,861,7008,-76.125,20.16875,NULL,615.5625,539.4938,511.885,85.28154,89.58334,8.5,1264.327,1775.097,351.5078,948.2977,18.58625
289294,2025-10-23 02:04:10.560,44.85408,46.93632,47.22222,51.94649,88.60076,0,72.9345,1773.93,49.50625,4514.815,-14.25,2181.75,1697.132,5230.376,861,7008,-76.125,20.175,NULL,615.615,539.4375,511.94,85.35077,85.55556,8.5,1264.862,1773.93,351.5078,948.2977,18.55383
